CODIGO DE PRODUCTO,CODIGO DE CLASE,DESCRPCION DE PRODUCTO
1020168-,102016,10201608-ROSAL VIVO SUNNY LEONIDAS
1020169-,102016,10201609-ROSAL VIVO TERRA NOSTRA
10201610-,102016,10201610-ROSAL VIVO TERRACOTTA
1020171-,102017,10201701-ROSAL VIVO ADVENIRE
1020172-,102017,10201702-ROSAL VIVO ALEX
1020173-,102017,10201703-ROSAL VIVO ANTIQUE BRASS
1020174-,102017,10201704-ROSAL VIVO AUBADE
1020175-,102017,10201705-ROSAL VIVO BEACH
1020176-,102017,10201706-ROSAL VIVO BELLE PEARL
1020177-,102017,10201707-ROSAL VIVO BLUSH DE LOS ANDES
1020178-,102017,10201708-ROSAL VIVO CAMEL
1020179-,102017,10201709-ROSAL VIVO CARAMEL ANTIKE O CARAMEL ANTIQUE
10201710-,102017,10201710-ROSAL VIVO CHAMPAGNE
10201711-,102017,10201711-ROSAL VIVO CLEAR OCEAN
10201712-,102017,10201712-ROSAL VIVO COMBO
10201713-,102017,10201713-ROSAL VIVO CREME DE LA CREME
10201714-,102017,10201714-ROSAL VIVO EMANUELLA
10201715-,102017,10201715-ROSAL VIVO EVOLUTION
10201716-,102017,10201716-ROSAL VIVO FEDORA
10201717-,102017,10201717-ROSAL VIVO FENICE
10201718-,102017,10201718-ROSAL VIVO FRENCH VANILLA
10201719-,102017,10201719-ROSAL VIVO HOLLYWOOD
10201720-,102017,10201720-ROSAL VIVO ILIOS
10201721-,102017,10201721-ROSAL VIVO JELENA
10201722-,102017,10201722-ROSAL VIVO KAMELEON
10201723-,102017,10201723-ROSAL VIVO KENTUCKY
10201724-,102017,10201724-ROSAL VIVO KINGS PRIDE
10201725-,102017,10201725-ROSAL VIVO LATIN FUSION
10201726-,102017,10201726-ROSAL VIVO LEMON DREAM
10201727-,102017,10201727-ROSAL VIVO MAGIC MOKA
10201728-,102017,10201728-ROSAL VIVO MAMAMIA
10201729-,102017,10201729-ROSAL VIVO MESSAGE
10201730-,102017,10201730-ROSAL VIVO MUNECA O MUNIECA
10201731-,102017,10201731-ROSAL VIVO PARFUM DE ROSAS
10201732-,102017,10201732-ROSAL VIVO PORCELINA
10201733-,102017,10201733-ROSAL VIVO PRIVILEGE
10201734-,102017,10201734-ROSAL VIVO QUICKSAND
10201735-,102017,10201735-ROSAL VIVO ROLLERCOASTER
10201736-,102017,10201736-ROSAL VIVO ROMANTIC CURIOSA
10201737-,102017,10201737-ROSAL VIVO SAFARI
10201738-,102017,10201738-ROSAL VIVO SAHARA
10201739-,102017,10201739-ROSAL VIVO SANDY FEMMA
10201740-,102017,10201740-ROSAL VIVO TALEA
10201741-,102017,10201741-ROSAL VIVO TIMELESS
10201742-,102017,10201742-ROSAL VIVO TRANSITION
10201743-,102017,10201743-ROSAL VIVO TRUMP
10201744-,102017,10201744-ROSAL VIVO TWIN
10201745-,102017,10201745-ROSAL VIVO VENDELA
10201746-,102017,10201746-ROSAL VIVO VIRGINIA
1020181-,102018,10201801-ROSAL VIVO AMANDINE
1020182-,102018,10201802-ROSAL VIVO CAIPIRINHA
1020183-,102018,10201803-ROSAL VIVO GREEN FASHION
1020184-,102018,10201804-ROSAL VIVO GREEN TEA
1020185-,102018,10201805-ROSAL VIVO JADE
1020186-,102018,10201806-ROSAL VIVO LIMBO
1020187-,102018,10201807-ROSAL VIVO LIMENA O LIMENIA
1020188-,102018,10201808-ROSAL VIVO LIMONA
1020189-,102018,10201809-ROSAL VIVO OLD DUTCH
10201810-,102018,10201810-ROSAL VIVO SUPER GREEN
